defect_id,site,model,defect_category,defect_qty,occ_at_jst,status
D001,SUS,J69P,Buck-IC,3,2026-06-30 23:50:00+09:00,回答済
D002,WSE,310D,Coil,1,2026-07-01 00:10:00+09:00,回答済
D003,GSE,310D,NTF,1,2026-07-01 09:30:00+09:00,回答済
D004,META,J69P,Buck-IC,2,2026-07-02 14:20:00+09:00,調査中
D005,MEAX,36WA,Coil,4,2026-07-03 18:45:00+09:00,回答済
D006,MELAC,3BVT,NTF,1,2026-07-04 08:15:00+09:00,回答済
D007,SUS,36WA,Buck-IC,5,2026-07-05 22:10:00+09:00,回答済
D008,WSE,J69P,Coil,2,2026-07-06 01:30:00+09:00,調査中
D009,GSE,310D,Coil,3,2026-07-07 11:40:00+09:00,回答済
D010,META,36WA,Buck-IC,2,2026-07-08 00:00:00+09:00,回答済
D011,MEAX,310D,Coil,1,,未回答
D012,MELAC,J69P,NTF,1,日付不正,調査中
