defect_id,site,customer,model,defect_category,defect_qty,inspection_qty,occ_at_jst,status,comment
D001,SUS,Honda,J69P,Buck-IC,3,120000,2026-06-30 23:50:00+09:00,回答済,期間外_前日夜
D002,WSE,Honda,310D,Coil,1,98000,2026-07-01 00:10:00+09:00,回答済,期間開始直後
D003,GSE,Mitsubishi,310D,NTF,1,87000,2026-07-01 09:30:00+09:00,回答済,朝発生
D004,META,Honda,J69P,Buck-IC,2,150000,2026-07-02 14:20:00+09:00,調査中,午後発生
D005,MEAX,Mitsubishi,36WA,Coil,4,110000,2026-07-02 18:45:00+09:00,回答済,夕方発生
D006,MELAC,Honda,3BVT,NTF,1,76000,2026-07-03 08:15:00+09:00,回答済,午前発生
D007,SUS,Honda,36WA,Buck-IC,5,125000,2026-07-03 22:10:00+09:00,回答済,夜間発生
D008,WSE,Mitsubishi,J69P,Coil,2,99000,2026-07-04 01:30:00+09:00,調査中,深夜発生
D009,GSE,Honda,310D,Coil,3,88000,2026-07-04 11:40:00+09:00,回答済,昼前発生
D010,META,Mitsubishi,36WA,Buck-IC,2,151000,2026-07-05 15:05:00+09:00,回答済,午後発生
D011,MEAX,Honda,3BVT,Coil,1,112000,2026-07-06 19:25:00+09:00,調査中,夜間発生
D012,MELAC,Mitsubishi,J69P,NTF,1,78000,2026-07-07 23:55:00+09:00,回答済,期間最終日
D013,SUS,Honda,310D,Coil,2,126000,2026-07-08 00:00:00+09:00,回答済,終了日ちょうど
D014,WSE,Mitsubishi,36WA,Buck-IC,4,101000,2026-07-08 10:20:00+09:00,回答済,期間外_終了後
D015,GSE,Honda,J69P,NTF,1,89000,,未回答,日時空欄
D016,META,Honda,3BVT,Coil,2,152000,日付不正,調査中,日時不正
D017,MEAX,Mitsubishi,310D,Buck-IC,0,113000,2026-07-05 06:10:00+09:00,調査中,数量0
D018,MELAC,Honda,36WA,Coil,未入力,79000,2026-07-06 13:45:00+09:00,調査中,数量未入力
