occurrence_date,site,defect_category,defect_count,work_minutes,comment
2022-01-03,GSE,点灯不良,2,60,初動確認
2022-01-04,WSE,外観不良,1,45,写真確認
2022-01-06,GSE,点灯不良,3,90,原因調査
2022-01-07,META,寸法不良,1,30,メール確認
2022-01-10,GSE,点灯不良,4,120,サプライヤ確認
2022/01/11,WSE,外観不良,2,50,日付表記ゆれ
 2022-01-13 ,META,寸法不良,1,40,日付前後に空白
2022-01-16,GSE,点灯不良,5,180,週末対応
2022-01-18,WSE,外観不良,1,35,資料作成
2022-01-20,MELAC,異音,2,70,一次回答
2022-01-24,GSE,点灯不良,3,100,再発確認
2022-01-25,WSE,外観不良,未入力,55,件数NG
NG_DATE,META,寸法不良,2,40,日付NG
2022-01-27,MELAC,異音,1,abc,時間NG
2022-01-29,GSE,点灯不良,6,200,月末確認
2022-01-30,WSE,外観不良,2,60,日曜対応
